_index,chapter,name_a,name_b,relationship,原文
23,7,荀玫,王惠,"同乡王惠与荀玫同年考中进士，陪同荀玫回家治丧。Hsun Mei 's fellow graduate Wang Hui, who also passed the provincial examination in the same year as Hsun Mei, accompanied him home to attend his father's funeral.","这日正磕著头，外边传呼接帖，说：“同年同乡王老爷来拜。” While this ceremony was being performed, it was announced, “Mr. Wang Hui, a fellow graduate from Wenshang County, has come to greet Mr. Hsun.”"
23,7,王惠,荀玫,"同乡王惠与荀玫同年考中进士，陪同荀玫回家治丧。Hsun Mei 's fellow graduate Wang Hui, who also passed the provincial examination in the same year as Hsun Mei, accompanied him home to attend his father's funeral.","这日正磕著头，外边传呼接帖，说：“同年同乡王老爷来拜。” While this ceremony was being performed, it was announced, “Mr. Wang Hui, a fellow graduate from Wenshang County, has come to greet Mr. Hsun.”"
24,8,王惠,蘧景玉,"王惠赴任南昌府太守，与蘧太守之子蘧景玉交接，蘧景玉曾在范进门下读书。Wang Hui was appointed as the governor of Nanchang Prefecture. There he met Chu Chin-yu, the son of the former governor Prefect Chu, who had previously studied under Fan Chin.","蘧公子道：“家君做县令时，晚生尚幼，相随敝门伯范老先生在山东督学幕中读书，也帮他看看卷子。直到升任南昌，署内无人办事，这数年总在这里的。” “When my father was a district magistrate I was still young. I studied in Shantung with the examiner, Mr. Fan, whom I helped to look through the examination papers; but for some years now — ever since my father was promoted to Nanchang and needed someone to help him — I have been with him here.”"
25,8,王惠,蘧公孙,"宁王反叛时王惠降顺，后兵败逃至浙江乌镇时遇到蘧公孙，公孙赠他二百两银子，王惠将《高青邱集诗话》给了他，公孙以自己名字发表出来，成了少年名士。Wang Hui met Chu Hsien-fu when he fled from Nanchang, Chu gifted him two hundred taels of silver. Wang Hui gave him a book called "" Random Notes on Poetry by Kao Chi"", and Chu Hsien-fu printed copies in his own name, becoming a brilliant young scholar.","蘧公孙听了，心里想道：“此书既是天下没有第二本，何不竟将他缮写成帙，添了我的名字，刊刻起来，做这一番大名？”  When his grandson heard that there was not another copy of this book in the world, he thought: “Why shouldn’t I print some copies in my own name? That would win me fame.” …… All who saw this book were so delighted with it that they could hardly bear to put it down; and henceforward Prefect Chu’s grandson was known throughout western Chekiang as a brilliant young scholar."
25,8,蘧公孙,王惠,"宁王反叛时王惠降顺，后兵败逃至浙江乌镇时遇到蘧公孙，公孙赠他二百两银子，王惠将《高青邱集诗话》给了他，公孙以自己名字发表出来，成了少年名士。Wang Hui met Chu Hsien-fu when he fled from Nanchang, Chu gifted him two hundred taels of silver. Wang Hui gave him a book called "" Random Notes on Poetry by Kao Chi"", and Chu Hsien-fu printed copies in his own name, becoming a brilliant young scholar.","蘧公孙听了，心里想道：“此书既是天下没有第二本，何不竟将他缮写成帙，添了我的名字，刊刻起来，做这一番大名？”  When his grandson heard that there was not another copy of this book in the world, he thought: “Why shouldn’t I print some copies in my own name? That would win me fame.” …… All who saw this book were so delighted with it that they could hardly bear to put it down; and henceforward Prefect Chu’s grandson was known throughout western Chekiang as a brilliant young scholar."
26,8,蘧公孙,蘧景玉,"蘧公孙时蘧景玉的儿子蘧太守的孙子。Chu Hsien-fu is Chu Chin-yu’s son, grandson of Prefect Chu.","王惠道：“当日在南昌相会的少爷，台讳是景玉，想是令叔？”蘧公孙道：“这便是先君。” / 王惠道：“尊姓？”那少年道：“姓蘧。”王惠道：“向日有位蘧老先生，曾做过南昌太守，可与足下一家？”那少年惊道：“便是家祖。老客何以见问？”王惠道：“原来是蘧老先生的令公孙，失敬了。” “I met Prefect Chu’s son, Chin-yu, at Nanchang,” said Wang. “Is he your uncle?” “He was my father.” /  “May I know your honourable name?” “My name is Chu Hsien-fu.” “There used to be a Prefect Chu at Nanchang. Is he any relation of yours?” “He is my grandfather! But how did you guess?” “So you are Prefect Chu’s grandson! I am delighted to meet you.”"
27,8,蘧公孙,蘧太守,"蘧公孙时蘧景玉的儿子蘧太守的孙子。Chu Hsien-fu is Chu Chin-yu’s son, grandson of Prefect Chu.",
28,8,蘧公孙,娄氏兄弟,"娄琫、娄瓒是蘧公孙的表叔，蘧太守的表侄。Lou Feng and Lou Chan were Chu Hsien-fu 's uncles, Prefect Chu’s nephews.","一日，门上人进来禀道：“娄府两位少老爷到了。”蘧太守叫公孙：“你娄家表叔到了，快去迎请进来。One day the gate-keeper came in to announce: “Two gentle¬ men from the Lou family have arrived.” “Your uncles are here,” Prefect Chu told his grandson. “Go quickly to welcome them.” Young Chu hurried out to greet them."
33,10,蘧公孙,鲁编修,"娄氏兄弟宴请鲁编修，鲁编修在宴席上见到蘧公孙，认为他是有才华之人，将独女嫁给他，并让蘧公孙入赘鲁家。The Lou brothers invited Compiler Lu to a feast, where he met Chu Hsien-fu and appreciated his talent. Compiler Lu arranged for his daughter to marry Chu Hsien-fu and for him to become the son-in-law of the Lu family.","昨在尊府会见南昌蘧太爷的公孙，着实爱他才华，所以托晚生来问，可曾毕过姻事？” / 鲁编修说：只得一个女儿，舍不得嫁出门，要蘧公孙入赘。娄府也应允了。The other day, however, when Mr. Lu met Prefect Chu’s grandson in your honourable house, he was struck by his genius. He has asked me to come and find out whether the young gentleman is married or not. / When they proposed this date to Mr. Lu, he requested that, since he had only the one daughter and was loath to part with her, Master Chu should stay with the Lu family. To this the Lou brothers agreed."
39,13,蘧公孙,马纯上,"蘧公孙遇见选编文集帮人补习的马纯上，请教他升学的途径，深受启发，二人结拜为兄弟。Chu Hsien-fu met Ma Chunshang, who was helping someone prepare for the provincial examination. Chu Hsien-fu asked him for advice on how to further his own studies, and was deeply inspired. The two men became sworn brothers.","一席话，说得蘧公孙如梦方醒。又留他吃了晚饭，结为性命之交，相别而去。自此，日日往来。This conversation made Chu Hsien-fu feel as if he were coming out of darkness into the bright light of day. He kept Mr. Ma to dinner too and they became sworn brothers; then the scholar said goodbye and went away. After this, they met nearly every day."
48,17,蘧公孙,景兰江,景兰江在诗会中与蘧公孙成为文字至交。 Ching Lan-chiang made friends with Chu Hsien-fu in the poetizing parties.,"景兰江道：“新学台是湖州鲁老先生同年。鲁老先生就是小弟的诗友。小弟当时联句的诗会，杨执中先生，权勿用先生、嘉兴蘧太守公孙𬳽夫、还有娄中堂两位公子──三先生、四先生，都是弟们文字至交。可惜有位牛布衣先生只是神交，不曾会面。”匡超人见他说这些人，便问道：“杭城文瀚楼选书的马二先生，讳叫做静的，先生想也相与？”景兰江道：“那是做时文的朋友，虽也认得，不算相与。“This new examiner used to work with Mr. Lu of Huchow, who is a poet and friend of mine. Our poetizing parties were attended by Mr. Yang Chih-chung, Mr. Chuan Wu-yung, Chu Hsien-fu of Chiahsing, the grandson of Prefect Chu, and the two sons of Minister Lou — the third and fourth brothers. They are all good friends of mine. There was a Mr. Niu Pu-yi too, but unfortunately I only knew him by reputation: we never met.”"
28,8,娄氏兄弟,蘧公孙,"娄琫、娄瓒是蘧公孙的表叔，蘧太守的表侄。Lou Feng and Lou Chan were Chu Hsien-fu 's uncles, Prefect Chu’s nephews.","一日，门上人进来禀道：“娄府两位少老爷到了。”蘧太守叫公孙：“你娄家表叔到了，快去迎请进来。One day the gate-keeper came in to announce: “Two gentle¬ men from the Lou family have arrived.” “Your uncles are here,” Prefect Chu told his grandson. “Go quickly to welcome them.” Young Chu hurried out to greet them."
29,9,娄氏兄弟,邹吉甫,邹吉甫为娄公子家看坟的仆人。Chou Chi-fu was a servant who looked after Lou’s ancestral graves.,那人道：“小人便是先太保老爷坟上看坟的邹吉甫的儿子邹三。“I am Chou San. My father Chou Chi-fu used to look after your ancestral graves.”
31,9,娄氏兄弟,杨执中,"邹吉甫告诉娄氏两公子杨执中管账亏空入狱，娄氏公子因仰慕杨执中学问救他出来。Chou Chi-fu told The Lou brothers about Yang Chih-chung, who had been imprisoned due to financial irregularities. The Lou brothers appreciated Yang Chih-chung 's knowledge and helped him get out of prison.",
32,10,娄氏兄弟,鲁编修,鲁编修是娄氏兄弟同乡。Compiler Lu is from the same hometown as The Lou brothers. ,"两公子认得是同乡鲁编修家里的管家。They recognized him as the servant of Mr. Lu, a compiler of the Han Lin Academy who came from their district."
35,12,娄氏兄弟,权勿用,杨执中向娄氏公子介绍一个学识渊博的人，叫权勿用。Yang Chih-chung introduced The Lou brothers to a knowledgeable person named Chuan Wuyung.,"话说杨执中向两公子说：“三先生、四先生如此好士，似小弟的车载斗量，何足为重！我有一个朋友，姓权，名勿用，字潜斋，是萧山县人，住在山里。此人若招致而来，与二位先生一谈，才见出他管、乐的经纶，程、朱的学问。此乃是当时第一等人。”三公子大惊道：“既有这等高贤，我们为何不去拜访？” “But I have a friend called Chuan Wuyung from Hsiaoshan County who lives in the hills. If you invite him here to talk with you, you will see that he has the wisdom of ancient statesmen and the learning of scholars of old, which make him unrivalled among contemporaries.” “If he is such a remarkable man,” said Lou Feng, much impressed, “why don’t we go to pay our respects to him?”"
38,12,娄氏兄弟,张铁臂,"张铁臂骗取娄氏兄弟五百两银子后不知去向。After tricking The Lou brothers giving him five hundred taels of silver, Iron-armed Chang disappeared without a trace.","两公子听罢，大是骇然。弟兄忙到内里取出五百两银子付与张铁臂。铁臂将革囊放在阶下，银子拴束在身，叫一声多谢，腾身而起，上了房檐，行步如飞，只听得一片瓦响，无影无踪去了。Tremendously impressed, the two brothers hurried inside to fetch him five hundred taels. Then Iron-armed Chang put the bag down on the steps, stowed the silver about his person, thanked them and vaulted on the eaves. All they heard was a clatter on.the tiles, as he vanished like lightning."
49,17,娄氏兄弟,景兰江,景兰江在诗会中与娄氏兄弟成为文字至交。 Ching Lan-chiang made friends with The Lou brothers in the poetizing parties.,"景兰江道：“新学台是湖州鲁老先生同年。鲁老先生就是小弟的诗友。小弟当时联句的诗会，杨执中先生，权勿用先生、嘉兴蘧太守公孙𬳽夫、还有娄中堂两位公子──三先生、四先生，都是弟们文字至交。可惜有位牛布衣先生只是神交，不曾会面。”匡超人见他说这些人，便问道：“杭城文瀚楼选书的马二先生，讳叫做静的，先生想也相与？”景兰江道：“那是做时文的朋友，虽也认得，不算相与。“This new examiner used to work with Mr. Lu of Huchow, who is a poet and friend of mine. Our poetizing parties were attended by Mr. Yang Chih-chung, Mr. Chuan Wu-yung, Chu Hsien-fu of Chiahsing, the grandson of Prefect Chu, and the two sons of Minister Lou — the third and fourth brothers. They are all good friends of mine. There was a Mr. Niu Pu-yi too, but unfortunately I only knew him by reputation: we never met.”"
29,9,邹吉甫,娄氏兄弟,邹吉甫为娄公子家看坟的仆人。Chou Chi-fu was a servant who looked after Lou’s ancestral graves.,那人道：“小人便是先太保老爷坟上看坟的邹吉甫的儿子邹三。“I am Chou San. My father Chou Chi-fu used to look after your ancestral graves.”
30,9,邹吉甫,杨执中,"邹吉甫告诉娄氏两公子杨执中管账亏空入狱，娄氏公子因仰慕杨执中学问救他出来。Chou Chi-fu told The Lou brothers about Yang Chih-chung, who had been imprisoned due to financial irregularities. The Lou brothers appreciated Yang Chih-chung 's knowledge and helped him get out of prison.","邹吉甫道：“阿弥陀佛！二位少老爷是肯做好事的。想着从前已往，不知拔济了多少人。如今若救出杨先生来，这一镇的人，谁不感仰。” / “这杨贡生是娄府的人。两位老爷发了帖，现有娄府家人具的保状。“He’s Mr. Yang, a decent sort and a great reader. …… and if you get Mr. Yang out of gaol, every single villager here will be moved.” / This Licentiate Yang is connected with the Lou family, and two of the Lou gentlemen have sent in their cards and instructed their steward to act as guarantor."
32,10,鲁编修,娄氏兄弟,鲁编修是娄氏兄弟同乡。Compiler Lu is from the same hometown as The Lou brothers. ,"两公子认得是同乡鲁编修家里的管家。They recognized him as the servant of Mr. Lu, a compiler of the Han Lin Academy who came from their district."
33,10,鲁编修,蘧公孙,"娄氏兄弟宴请鲁编修，鲁编修在宴席上见到蘧公孙，认为他是有才华之人，将独女嫁给他，并让蘧公孙入赘鲁家。The Lou brothers invited Compiler Lu to a feast, where he met Chu Hsien-fu and appreciated his talent. Compiler Lu arranged for his daughter to marry Chu Hsien-fu and for him to become the son-in-law of the Lu family.","昨在尊府会见南昌蘧太爷的公孙，着实爱他才华，所以托晚生来问，可曾毕过姻事？” / 鲁编修说：只得一个女儿，舍不得嫁出门，要蘧公孙入赘。娄府也应允了。The other day, however, when Mr. Lu met Prefect Chu’s grandson in your honourable house, he was struck by his genius. He has asked me to come and find out whether the young gentleman is married or not. / When they proposed this date to Mr. Lu, he requested that, since he had only the one daughter and was loath to part with her, Master Chu should stay with the Lu family. To this the Lou brothers agreed."
45,17,鲁编修,景兰江,景兰江是鲁编修的诗友。Ching Lan-chiang was a poet friend of Compiler Lu.,"景兰江道：“新学台是湖州鲁老先生同年。鲁老先生就是小弟的诗友。小弟当时联句的诗会，杨执中先生，权勿用先生、嘉兴蘧太守公孙𬳽夫、还有娄中堂两位公子──三先生、四先生，都是弟们文字至交。可惜有位牛布衣先生只是神交，不曾会面。”匡超人见他说这些人，便问道：“杭城文瀚楼选书的马二先生，讳叫做静的，先生想也相与？”景兰江道：“那是做时文的朋友，虽也认得，不算相与。“This new examiner used to work with Mr. Lu of Huchow, who is a poet and friend of mine. Our poetizing parties were attended by Mr. Yang Chih-chung, Mr. Chuan Wu-yung, Chu Hsien-fu of Chiahsing, the grandson of Prefect Chu, and the two sons of Minister Lou — the third and fourth brothers. They are all good friends of mine. There was a Mr. Niu Pu-yi too, but unfortunately I only knew him by reputation: we never met.”"
30,9,杨执中,邹吉甫,"邹吉甫告诉娄氏两公子杨执中管账亏空入狱，娄氏公子因仰慕杨执中学问救他出来。Chou Chi-fu told The Lou brothers about Yang Chih-chung, who had been imprisoned due to financial irregularities. The Lou brothers appreciated Yang Chih-chung 's knowledge and helped him get out of prison.","邹吉甫道：“阿弥陀佛！二位少老爷是肯做好事的。想着从前已往，不知拔济了多少人。如今若救出杨先生来，这一镇的人，谁不感仰。” / “这杨贡生是娄府的人。两位老爷发了帖，现有娄府家人具的保状。“He’s Mr. Yang, a decent sort and a great reader. …… and if you get Mr. Yang out of gaol, every single villager here will be moved.” / This Licentiate Yang is connected with the Lou family, and two of the Lou gentlemen have sent in their cards and instructed their steward to act as guarantor."
31,9,杨执中,娄氏兄弟,"邹吉甫告诉娄氏两公子杨执中管账亏空入狱，娄氏公子因仰慕杨执中学问救他出来。Chou Chi-fu told The Lou brothers about Yang Chih-chung, who had been imprisoned due to financial irregularities. The Lou brothers appreciated Yang Chih-chung 's knowledge and helped him get out of prison.",
